TNAP at Infection;Time,hpi;Average Mean Intensity;StdDev
20184869093;1;0.001395561;2.15554E-06
20184869093;2;0.001403932;1.4122E-06
20184869093;3;0.00140637;2.26503E-06
20184869093;4;0.001411574;2.15774E-06
20184869093;5;0.001431023;3.9487E-06
20184869093;6;0.001466121;7.02256E-06
20184869093;7;0.001522547;1.4952E-05
20184869093;8;0.00160734;2.59846E-05
20184869093;9;0.001731665;4.10245E-05
20184869093;10;0.001872645;5.70156E-05
20184869093;11;0.002073634;8.18165E-05
20184869093;12;0.00229445;0.000111116
20184869093;13;0.002574816;0.000151259
20184869093;14;0.002899313;0.000193427
20184869093;15;0.003294864;0.000249502
20184869093;16;0.003648549;0.000291466
20184869093;17;0.004089695;0.000350413
20184869093;18;0.004564868;0.000409059
20184869093;19;0.004976794;0.000466179
20184869093;20;0.005603677;0.00057903
20184869093;21;0.006121725;0.00065647
20184869093;22;0.006649449;0.00079146
20184869093;23;0.007074208;0.000838633
20184869093;24;0.007660121;0.000941778
20184869093;25;0.008084802;0.001022322
20184869093;26;0.008564702;0.001180243
20184869093;27;0.008945748;0.00127999
20184869093;28;0.009359506;0.001384342
20184869093;29;0.009675493;0.001478028
20184869093;30;0.010059769;0.001608897
20184869093;31;0.010303804;0.001652995
20184869093;32;0.010377968;0.001756861
20184869093;33;0.010673557;0.001806003
20184869093;34;0.010816897;0.001885732
20184869093;35;0.010859607;0.002006977
20184869093;36;0.010972446;0.002066264
20184869093;37;0.011049245;0.002221665
20184869093;38;0.011009023;0.002198219
20184869093;39;0.011187063;0.002341062
20184869093;40;0.011237407;0.00233602
20184869093;41;0.010971262;0.002353774
20184869093;42;0.010938994;0.002315122
20184869093;43;0.010792842;0.002353752
20184869093;44;0.010708387;0.002297279
20184869093;45;0.010656697;0.002336519
20184869093;46;0.010673496;0.002408054
20184869093;47;0.010523919;0.002344658
20184869093;48;0.01036283;0.002316873
20184869093;49;0.009988749;0.002158588
20184869093;50;0.009961069;0.002165697
20184869093;51;0.009870683;0.002055585
20184869093;52;0.009709609;0.00199616
20184869093;53;0.009705169;0.001962236
20184869093;54;0.009647932;0.001942784
20184869093;55;0.009532978;0.001845129
20184869093;56;0.009271685;0.001712083
20184869093;57;0.009295521;0.001678296
20184869093;58;0.009269988;0.001641763
20184869093;59;0.009147993;0.001552641
20184869093;60;0.009183462;0.001566188
20184869093;61;0.009172087;0.001515595
20184869093;62;0.008958832;0.001394471
20184869093;63;0.008749683;0.00136464
20184869093;64;0.008624718;0.001269857
20184869093;65;0.008745226;0.001268215
20184869093;66;0.008866375;0.001268951
20184869093;67;0.008796649;0.001216204
20184869093;68;0.008913355;0.001188587
20184869093;69;0.008905774;0.001202949
20184869093;70;0.008898518;0.001172655
20184869093;71;0.008869828;0.001148298
20184869093;72;0.00892558;0.001096715
4036973819;1;0.001398221;1.75971E-06
4036973819;2;0.001404527;2.56216E-06
4036973819;3;0.001407777;2.19765E-06
4036973819;4;0.001409919;2.56342E-06
4036973819;5;0.00141784;2.51664E-06
4036973819;6;0.001439832;5.52828E-06
4036973819;7;0.001470319;8.90932E-06
4036973819;8;0.001520103;1.66564E-05
4036973819;9;0.001599675;2.65189E-05
4036973819;10;0.001700376;3.72903E-05
4036973819;11;0.001834948;5.40209E-05
4036973819;12;0.002003835;7.39745E-05
4036973819;13;0.002221029;9.51495E-05
4036973819;14;0.002471597;0.000120659
4036973819;15;0.002766247;0.00016147
4036973819;16;0.003069566;0.000195277
4036973819;17;0.00343958;0.000233619
4036973819;18;0.003858374;0.000276206
4036973819;19;0.004195505;0.000319112
4036973819;20;0.004773233;0.000380678
4036973819;21;0.00525324;0.000434788
4036973819;22;0.005763168;0.000482905
4036973819;23;0.006269768;0.000535297
4036973819;24;0.00685095;0.000606466
4036973819;25;0.00739723;0.000658169
4036973819;26;0.008015313;0.000736956
4036973819;27;0.008611669;0.000798217
4036973819;28;0.009141929;0.000863172
4036973819;29;0.009826461;0.000959164
4036973819;30;0.010458652;0.001015488
4036973819;31;0.010934663;0.00111516
4036973819;32;0.011321155;0.001138795
4036973819;33;0.011971956;0.001268232
4036973819;34;0.012728764;0.001413995
4036973819;35;0.013022883;0.00158692
4036973819;36;0.013608859;0.001558395
4036973819;37;0.014197341;0.001681137
4036973819;38;0.014622945;0.001890899
4036973819;39;0.01535169;0.001979509
4036973819;40;0.015837266;0.002124817
4036973819;41;0.016221029;0.002379144
4036973819;42;0.016511104;0.00239522
4036973819;43;0.01715288;0.002567878
4036973819;44;0.017333689;0.002683955
4036973819;45;0.01796334;0.002918731
4036973819;46;0.018281433;0.003115647
4036973819;47;0.018824863;0.003295976
4036973819;48;0.019071732;0.00345259
4036973819;49;0.019062483;0.003507673
4036973819;50;0.019454035;0.003667669
4036973819;51;0.019576872;0.003763059
4036973819;52;0.019740401;0.003963237
4036973819;53;0.020235258;0.00416864
4036973819;54;0.02041648;0.004180728
4036973819;55;0.020647977;0.004345377
4036973819;56;0.020419513;0.004472881
4036973819;57;0.020780305;0.004617374
4036973819;58;0.020915381;0.004688918
4036973819;59;0.021041265;0.004831714
4036973819;60;0.021200515;0.004915165
4036973819;61;0.021300993;0.005150802
4036973819;62;0.02117126;0.005125385
4036973819;63;0.02054108;0.005082661
4036973819;64;0.020644112;0.005206565
4036973819;65;0.021082882;0.005482572
4036973819;66;0.021488315;0.005721049
4036973819;67;0.021368985;0.00578913
4036973819;68;0.021400241;0.005824154
4036973819;69;0.021639488;0.006036503
4036973819;70;0.021707284;0.006183526
4036973819;71;0.021548493;0.006302029
4036973819;72;0.021600343;0.006330932
807394763.7;1;0.001400278;1.75296E-06
807394763.7;2;0.001406171;1.64446E-06
807394763.7;3;0.001404657;2.17604E-06
807394763.7;4;0.0014058;2.47185E-06
807394763.7;5;0.001410291;2.23858E-06
807394763.7;6;0.001418379;1.83759E-06
807394763.7;7;0.001429444;2.7965E-06
807394763.7;8;0.001446898;3.3696E-06
807394763.7;9;0.001470064;3.8375E-06
807394763.7;10;0.001503237;6.8473E-06
807394763.7;11;0.001551171;7.88873E-06
807394763.7;12;0.001608126;1.43308E-05
807394763.7;13;0.001690986;1.53498E-05
807394763.7;14;0.001800463;1.84257E-05
807394763.7;15;0.001907758;2.95512E-05
807394763.7;16;0.00204599;3.61064E-05
807394763.7;17;0.002218911;4.81358E-05
807394763.7;18;0.002408474;5.26097E-05
807394763.7;19;0.002566314;6.88111E-05
807394763.7;20;0.002842276;7.63835E-05
807394763.7;21;0.003088508;8.14551E-05
807394763.7;22;0.003354791;0.000105964
807394763.7;23;0.003641007;0.000129109
807394763.7;24;0.003977619;0.000152172
807394763.7;25;0.004262129;0.000148136
807394763.7;26;0.004672823;0.000165768
807394763.7;27;0.005077684;0.0002218
807394763.7;28;0.005443817;0.000231299
807394763.7;29;0.005920276;0.000247604
807394763.7;30;0.006339519;0.000269811
807394763.7;31;0.006798803;0.000291972
807394763.7;32;0.007157254;0.000275782
807394763.7;33;0.007697644;0.000326122
807394763.7;34;0.008215606;0.000347385
807394763.7;35;0.008614128;0.000382684
807394763.7;36;0.009093757;0.000401318
807394763.7;37;0.00974588;0.000442325
807394763.7;38;0.010235402;0.000502706
807394763.7;39;0.01085852;0.000576877
807394763.7;40;0.011383238;0.000599253
807394763.7;41;0.011814626;0.000622736
807394763.7;42;0.012459945;0.000744474
807394763.7;43;0.013102695;0.000752585
807394763.7;44;0.013521043;0.000827747
807394763.7;45;0.014134548;0.000869474
807394763.7;46;0.014693377;0.000971869
807394763.7;47;0.015345679;0.001024147
807394763.7;48;0.015869107;0.001162746
807394763.7;49;0.016061276;0.001133313
